station_id,location_id,timestamp,temp,humidity,precipitation
ST093,L0287,2025-07-05 16:52:53,-6.59,32.28,47.26
ST018,L0493,2025-07-17 06:18:53,-9.83,35.96,28.62
ST097,L0774,2025-07-29 02:07:44,-3.95,63.45,10.17
ST009,L0022,2025-07-20 17:23:26,23.04,13.58,18.43
ST053,L0794,2025-07-09 16:16:37,17.16,85.9,46.82
ST048,L0351,2025-07-17 19:32:47,0.04,68.59,47.52
ST002,L0183,2025-07-05 16:44:55,10.29,61.93,23.61
ST060,L0591,2025-07-20 22:40:53,40.92,19.45,41.91
ST057,L0679,2025-07-17 08:25:17,6.79,80.02,41.13
ST001,L0679,2025-07-22 04:01:09,-1.95,38.38,1.28
ST049,L0546,2025-07-26 00:58:35,28.16,14.3,47.94
ST015,L0793,2025-07-21 01:08:27,6.81,39.11,23.73
ST073,L0541,2025-07-14 09:33:38,-4.85,93.79,2.73
ST062,L0946,2025-07-27 13:48:46,34.06,95.98,9.94
ST071,L0429,2025-07-27 15:02:05,6.06,47.15,31.09
ST026,L0988,2025-07-17 18:02:47,39.82,34.34,5.43
ST019,L0452,2025-07-04 21:41:54,43.16,84.27,27.64
ST018,L0675,2025-07-05 17:20:41,40.37,71.07,5.75
ST014,L0297,2025-07-07 22:02:13,35.98,51.66,12.49
ST011,L0677,2025-07-08 15:50:38,-5.53,78.0,22.11
ST094,L0022,2025-07-11 19:32:38,4.91,16.19,21.99
ST056,L0917,2025-07-28 00:29:24,1.02,40.35,26.47
ST009,L0311,2025-07-23 00:22:51,25.18,78.99,8.86
ST033,L0817,2025-07-16 20:35:09,11.72,81.12,13.38
ST059,L0033,2025-07-30 13:00:20,43.73,65.57,19.96
ST076,L0221,2025-07-17 17:31:30,27.06,98.11,45.98
ST001,L0510,2025-07-26 22:47:22,19.91,27.25,31.81
ST043,L0769,2025-07-25 03:59:43,30.89,29.82,4.64
ST041,L0511,2025-07-18 07:28:50,44.61,45.21,15.35
ST096,L0602,2025-07-27 15:43:11,-3.12,16.6,30.16
ST003,L0862,2025-07-12 13:17:15,42.74,39.75,18.35
ST021,L0446,2025-07-17 18:22:04,24.96,65.75,29.26
ST021,L0881,2025-07-19 06:42:19,-2.57,12.31,43.92
ST007,L0319,2025-07-13 03:53:53,-7.23,87.3,31.76
ST027,L0734,2025-07-25 17:33:46,9.19,22.51,7.38
ST035,L0390,2025-07-10 12:38:53,15.55,74.87,2.19
ST073,L0087,2025-07-24 11:58:17,22.05,48.26,32.09
ST053,L0322,2025-07-28 03:44:07,27.42,64.71,42.75
ST065,L0281,2025-07-14 00:25:28,42.28,71.52,28.52
ST054,L0250,2025-07-10 23:45:00,13.65,54.07,5.86
ST086,L0337,2025-07-16 01:56:49,39.76,36.56,19.12
ST100,L0196,2025-07-19 15:14:40,39.25,89.53,37.21
ST072,L0152,2025-07-05 13:14:51,1.08,81.2,45.1
ST087,L0700,2025-07-15 17:54:27,40.19,88.08,39.37
ST028,L0668,2025-07-19 08:31:07,16.67,41.97,41.29
ST087,L0144,2025-07-08 20:16:49,31.22,75.01,35.24
ST023,L0919,2025-07-10 09:13:12,12.87,44.11,19.25
ST088,L0055,2025-07-27 04:14:24,21.17,36.27,46.79
ST038,L0541,2025-07-23 03:41:53,41.62,89.61,42.06
ST008,L0129,2025-07-11 19:47:22,36.52,49.05,32.91
ST035,L0942,2025-07-07 01:56:40,4.86,85.91,45.27
ST028,L0437,2025-07-15 10:20:48,16.29,58.87,12.31
ST017,L0574,2025-07-01 15:14:41,5.99,99.99,41.8
ST059,L0932,2025-07-09 01:29:55,-6.51,99.11,11.87
ST082,L0536,2025-07-08 01:54:27,33.23,35.89,10.55
ST033,L0435,2025-07-26 15:01:04,23.88,32.47,32.43
ST050,L0522,2025-07-11 12:04:51,19.93,20.35,21.37
ST054,L0811,2025-07-07 06:14:41,23.08,65.07,22.2
ST040,L0622,2025-07-10 06:24:50,29.21,88.38,17.43
ST061,L0464,2025-07-15 05:03:28,2.2,25.46,3.28
ST009,L0103,2025-07-05 09:15:02,8.38,83.62,45.28
ST008,L0969,2025-07-03 00:58:34,15.55,27.77,42.2
ST010,L0405,2025-07-20 03:31:01,42.13,48.84,19.75
ST092,L0444,2025-07-19 19:39:32,35.9,55.96,25.7
ST091,L0291,2025-07-27 20:43:08,29.21,50.3,44.55
ST067,L0364,2025-07-13 05:36:43,10.84,98.38,8.87
ST025,L0941,2025-07-23 22:29:38,4.26,84.59,10.56
ST034,L0846,2025-07-14 22:25:26,23.45,78.57,24.42
ST096,L0939,2025-07-28 20:46:30,10.92,87.16,44.21
ST040,L0391,2025-07-18 06:08:09,39.74,34.54,44.5
ST085,L0040,2025-07-06 23:58:13,7.76,10.57,1.38
ST099,L0472,2025-07-25 20:43:15,-8.89,21.44,1.59
ST044,L0962,2025-07-02 10:12:26,32.46,36.37,12.58
ST054,L0792,2025-07-28 20:16:43,32.23,42.76,29.27
ST023,L0936,2025-07-22 22:54:23,32.27,78.25,15.04
ST099,L0916,2025-07-08 02:46:12,30.38,21.47,35.53
ST005,L0123,2025-07-23 10:56:35,12.84,94.75,44.38
ST001,L0297,2025-07-24 02:31:20,37.22,63.19,25.21
ST098,L0739,2025-07-13 13:54:01,39.65,72.87,16.91
ST094,L0058,2025-07-15 18:36:07,17.23,55.04,14.93
ST087,L0510,2025-07-21 11:46:08,1.07,15.99,27.74
ST034,L0681,2025-07-01 01:19:23,25.76,18.53,20.78
ST093,L0376,2025-07-06 03:49:23,27.5,28.28,29.82
ST060,L0002,2025-07-13 05:47:26,14.9,5.02,17.22
ST038,L0697,2025-07-02 16:05:27,22.45,50.56,2.2
ST093,L0942,2025-07-20 17:27:51,-8.66,32.69,27.84
ST026,L0656,2025-07-19 19:02:00,30.2,17.89,10.58
ST078,L0016,2025-07-06 11:41:55,35.97,92.9,30.9
ST047,L0769,2025-07-18 15:04:53,4.15,23.1,14.75
ST074,L0779,2025-07-09 22:25:02,43.89,86.88,20.37
ST084,L0954,2025-07-23 06:02:33,3.7,74.61,45.72
ST037,L0186,2025-07-20 22:52:45,33.72,8.17,41.75
ST020,L0459,2025-07-26 02:35:25,20.62,19.25,44.95
ST096,L0893,2025-07-11 16:12:44,12.86,19.53,32.28
ST067,L0001,2025-07-17 20:52:12,37.32,21.04,20.48
ST016,L0246,2025-07-05 00:06:00,19.68,42.37,10.43
ST074,L0985,2025-07-01 22:51:41,-1.79,97.97,40.28
ST073,L0985,2025-07-13 17:39:04,30.87,9.3,23.58
ST003,L0566,2025-07-21 21:24:18,16.18,63.61,23.92
ST072,L0746,2025-07-05 17:52:16,19.43,22.65,1.87
ST040,L0970,2025-07-26 14:27:30,43.13,74.75,37.52
ST042,L0420,2025-07-25 23:56:02,36.12,50.09,28.31
ST065,L0877,2025-07-18 02:47:05,-5.38,54.44,34.31
ST037,L0673,2025-07-09 20:45:46,29.64,64.98,30.63
ST037,L0851,2025-07-05 23:28:14,40.2,91.01,40.7
ST047,L0048,2025-07-14 20:22:22,16.11,59.34,29.8
ST084,L0972,2025-07-25 19:17:18,13.6,41.45,40.81
ST085,L0210,2025-07-07 19:33:15,42.84,44.05,8.7
ST007,L0488,2025-07-10 09:12:15,24.69,56.1,0.06
ST093,L0876,2025-07-28 22:55:26,43.24,71.82,9.45
ST066,L0405,2025-07-07 17:06:47,32.77,61.82,5.98
ST018,L0153,2025-07-15 10:32:47,37.49,35.59,4.24
ST091,L0275,2025-07-27 17:56:19,29.7,95.74,27.12
ST062,L0415,2025-07-02 05:42:28,33.83,54.63,7.41
ST063,L0749,2025-07-25 20:33:48,-0.02,31.42,13.5
ST030,L0236,2025-07-05 13:50:35,-8.38,26.03,17.24
ST025,L0409,2025-07-11 00:42:49,39.04,58.14,43.14
ST086,L0010,2025-07-18 16:44:45,11.56,91.24,47.84
ST003,L0444,2025-07-10 06:31:34,31.43,29.03,28.7
ST099,L0710,2025-07-08 06:50:36,-5.86,71.42,18.77
ST063,L0963,2025-07-16 05:24:59,15.9,41.48,32.88
ST053,L0277,2025-07-09 18:36:32,-6.89,53.62,43.9
ST093,L0689,2025-07-29 23:43:43,22.36,66.34,0.38
ST033,L0600,2025-07-14 08:09:54,38.33,98.23,3.81
ST066,L0571,2025-07-01 07:36:28,19.67,94.42,8.8
ST029,L0835,2025-07-22 17:41:56,38.85,59.97,45.85
ST014,L0228,2025-07-10 07:17:21,6.32,51.59,24.47
ST088,L0580,2025-07-27 02:35:37,17.37,27.65,41.41
ST001,L0543,2025-07-07 14:36:51,13.01,32.81,39.22
ST088,L0344,2025-07-13 06:50:09,35.27,53.55,41.01
ST048,L0833,2025-07-08 23:15:37,4.29,66.13,10.39
ST093,L0249,2025-07-28 10:11:25,0.72,14.4,42.03
ST092,L0685,2025-07-23 21:19:49,37.96,67.39,6.17
ST070,L0167,2025-07-19 02:41:10,32.6,48.29,28.03
ST067,L0759,2025-07-04 16:15:15,-4.91,39.6,21.59
ST008,L0456,2025-07-21 16:10:00,16.0,42.81,16.21
ST001,L0796,2025-07-21 17:25:05,18.82,51.35,7.99
ST085,L0923,2025-07-01 09:58:46,-0.69,54.18,37.83
ST003,L0640,2025-07-24 03:57:23,12.62,32.71,2.7
ST020,L0446,2025-07-24 00:30:03,-1.89,81.13,20.32
ST061,L0781,2025-07-14 20:12:35,16.92,31.74,43.77
ST068,L0226,2025-07-01 14:27:31,12.09,22.22,32.49
ST002,L0135,2025-07-14 01:47:04,-8.15,76.06,11.06
ST032,L0913,2025-07-23 16:44:36,8.45,20.4,7.85
ST095,L0608,2025-07-08 20:09:12,17.44,7.01,19.89
ST088,L0278,2025-07-26 21:13:33,-4.06,61.3,41.81
ST069,L0087,2025-07-22 15:15:05,-0.06,8.26,30.11
ST002,L0451,2025-07-16 12:29:10,41.19,9.02,41.11
ST079,L0282,2025-07-06 00:47:10,15.66,52.86,13.33
ST079,L0526,2025-07-22 12:26:47,36.21,42.11,28.95
ST009,L0886,2025-07-21 14:30:09,-0.08,76.35,28.63
ST036,L0996,2025-07-17 17:06:33,22.89,53.52,19.03
ST007,L0746,2025-07-02 22:44:42,4.78,37.82,35.15
ST006,L0812,2025-07-06 07:59:04,42.94,53.47,35.71
ST092,L0558,2025-07-07 05:39:12,-1.6,63.98,8.96
ST057,L0155,2025-07-18 20:46:31,7.09,63.85,35.03
ST080,L0485,2025-07-09 11:08:58,20.41,55.45,44.28
ST012,L0116,2025-07-10 16:35:38,-2.84,58.9,7.52
ST086,L0045,2025-07-30 05:47:15,-9.27,44.59,31.63
ST047,L0163,2025-07-06 18:48:34,35.51,49.43,23.11
ST082,L0139,2025-07-24 11:28:52,44.78,57.83,38.43
ST037,L0540,2025-07-05 03:52:49,30.82,69.87,12.55
ST036,L0237,2025-07-14 07:48:04,6.9,96.71,25.51
ST045,L0408,2025-07-29 23:24:33,32.39,68.52,45.36
ST003,L0720,2025-07-23 15:13:44,18.49,27.0,34.26
ST093,L0936,2025-07-15 16:00:58,14.33,65.27,9.71
ST028,L0657,2025-07-02 06:55:47,34.25,91.02,15.99
ST061,L0081,2025-07-14 04:36:01,19.89,38.58,9.8
ST073,L0476,2025-07-10 22:03:09,7.04,21.07,3.46
ST059,L0313,2025-07-18 09:51:03,22.59,83.15,43.3
ST022,L0073,2025-07-03 17:43:18,38.82,78.5,30.59
ST067,L0088,2025-07-27 05:40:48,37.71,74.52,16.64
ST007,L0762,2025-07-30 10:31:37,23.6,77.95,41.95
ST062,L0118,2025-07-23 04:32:07,-7.76,30.64,48.61
ST034,L0828,2025-07-17 17:52:47,35.38,45.88,15.66
ST092,L0109,2025-07-02 04:02:03,19.25,64.01,5.31
ST017,L0073,2025-07-23 15:13:01,3.67,12.81,4.73
ST087,L0621,2025-07-17 10:51:44,8.23,17.53,2.25
ST058,L0725,2025-07-10 01:43:11,-9.67,21.62,18.97
ST050,L0341,2025-07-14 07:04:25,20.73,21.66,34.96
ST041,L0431,2025-07-16 17:29:09,-5.68,72.21,0.15
ST043,L0824,2025-07-27 21:03:42,2.67,43.13,16.46
ST046,L0890,2025-07-26 11:21:47,35.17,6.78,38.74
ST084,L0969,2025-07-24 17:35:56,3.21,29.91,5.72
ST082,L0327,2025-07-05 16:48:26,13.47,55.56,7.21
ST062,L0722,2025-07-09 19:16:30,21.95,13.47,39.72
ST054,L0677,2025-07-06 03:42:18,1.31,25.26,33.94
ST027,L0929,2025-07-21 10:28:42,37.64,36.11,24.98
ST010,L0721,2025-07-04 05:45:22,16.99,89.72,37.72
ST005,L0207,2025-07-05 02:42:13,-7.22,10.67,9.48
ST083,L0933,2025-07-13 07:17:10,5.93,98.06,48.87
ST069,L0510,2025-07-29 00:43:23,11.12,68.01,16.79
ST037,L0988,2025-07-14 04:58:07,-5.89,89.5,33.91
ST056,L0261,2025-07-04 13:33:56,41.09,38.82,47.07
ST021,L0113,2025-07-21 01:51:28,39.48,55.05,44.47
ST070,L0499,2025-07-01 15:44:54,20.27,72.76,27.64
ST021,L0894,2025-07-22 06:23:26,15.43,95.65,49.41
ST094,L0641,2025-07-30 19:40:06,6.21,96.11,44.42
ST082,L0747,2025-07-26 03:18:37,26.04,37.66,4.85
ST028,L0842,2025-07-05 18:42:33,25.54,7.44,38.57
ST020,L0560,2025-07-20 15:40:12,4.59,74.65,33.95
ST033,L0903,2025-07-05 17:06:29,-3.63,26.69,15.38
ST039,L0708,2025-07-05 23:43:15,0.24,84.22,13.09
ST058,L0105,2025-07-03 23:25:27,7.45,43.25,6.03
ST092,L0726,2025-07-02 05:14:13,-6.61,65.92,2.77
ST078,L0168,2025-07-04 10:21:22,19.41,16.02,42.73
ST089,L0382,2025-07-22 21:00:49,8.94,33.38,14.0
ST002,L0931,2025-07-11 04:21:47,-9.14,31.21,0.11
ST009,L0294,2025-07-05 21:21:23,28.68,5.8,8.81
ST052,L0372,2025-07-22 19:27:53,13.21,27.12,5.85
ST022,L0068,2025-07-29 10:16:49,4.51,66.86,8.87
ST090,L0495,2025-07-29 19:57:24,35.54,69.03,46.03
ST055,L0065,2025-07-20 04:38:00,38.36,42.04,25.0
ST020,L0186,2025-07-03 22:53:02,-0.7,84.11,36.66
ST012,L0262,2025-07-21 15:57:11,-4.04,98.94,1.83
ST095,L0775,2025-07-04 01:46:24,39.1,31.21,44.12
ST095,L0456,2025-07-16 03:13:58,30.81,21.31,39.99
ST068,L0636,2025-07-03 21:16:40,-7.31,60.67,29.86
ST042,L0175,2025-07-03 19:37:51,3.25,82.57,1.11
ST085,L0070,2025-07-22 18:04:32,15.37,57.54,22.21
ST088,L0502,2025-07-27 17:08:30,31.56,10.07,15.45
ST058,L0792,2025-07-19 10:48:40,-3.05,92.6,32.37
ST012,L0315,2025-07-07 07:10:48,28.5,90.57,34.25
ST093,L0200,2025-07-16 03:03:41,8.83,26.15,28.73
ST035,L0889,2025-07-24 05:26:55,14.34,55.9,44.24
ST011,L0374,2025-07-15 02:33:30,27.49,6.37,22.93
ST047,L0308,2025-07-26 14:36:12,-8.2,71.51,48.25
ST073,L0439,2025-07-21 04:40:02,2.35,40.29,6.97
ST089,L0106,2025-07-17 21:32:16,-6.52,33.93,48.4
ST030,L0597,2025-07-10 14:00:10,11.73,89.76,22.17
ST035,L0561,2025-07-15 20:37:20,11.69,24.47,6.09
ST023,L0857,2025-07-25 16:13:14,0.48,47.94,4.62
ST035,L0097,2025-07-16 19:20:38,30.4,50.34,4.46
ST077,L0620,2025-07-14 10:08:06,38.76,84.32,4.42
ST067,L0644,2025-07-24 11:20:08,11.71,25.26,41.35
ST096,L0194,2025-07-26 20:00:37,34.36,99.55,23.77
ST032,L0295,2025-07-26 10:39:10,19.7,98.74,23.4
ST083,L0529,2025-07-21 14:48:46,0.06,19.18,33.71
ST019,L0508,2025-07-07 01:35:54,-7.2,89.22,5.58
ST043,L0764,2025-07-22 15:54:43,-9.07,96.15,34.57
ST091,L0058,2025-07-11 03:41:50,31.15,55.17,30.84
ST063,L0415,2025-07-19 12:26:45,41.39,72.25,18.12
ST017,L0387,2025-07-04 09:01:05,14.13,21.57,4.79
ST091,L0875,2025-07-01 02:23:42,-5.54,36.18,45.43
ST093,L0185,2025-07-10 06:04:45,10.2,58.65,23.5
ST033,L0210,2025-07-02 02:35:31,12.27,54.86,34.31
ST089,L0700,2025-07-27 20:17:42,2.21,18.95,8.61
ST026,L0338,2025-07-26 04:59:18,9.82,66.78,35.85
ST008,L0015,2025-07-01 05:38:34,42.29,42.41,38.09
ST029,L0146,2025-07-21 15:56:52,-2.71,34.72,28.47
ST095,L0952,2025-07-19 17:54:24,10.02,56.65,8.65
ST094,L0644,2025-07-14 12:06:41,25.56,84.58,24.58
ST025,L0390,2025-07-19 15:41:30,13.27,85.83,0.83
ST065,L0502,2025-07-26 07:12:41,14.85,63.23,6.89
ST069,L0394,2025-07-26 10:22:09,3.2,50.07,39.35
ST073,L0306,2025-07-29 10:15:04,9.1,57.2,48.95
ST026,L0715,2025-07-11 23:52:13,13.28,60.07,6.73
ST075,L0998,2025-07-27 14:42:59,9.83,83.15,19.38
ST098,L0276,2025-07-16 23:04:37,27.08,32.0,30.02
ST011,L0998,2025-07-30 13:36:04,26.64,75.84,11.43
ST054,L0332,2025-07-01 03:47:33,7.43,44.22,40.86
ST052,L0979,2025-07-08 06:39:51,4.62,48.77,5.2
ST025,L0979,2025-07-28 05:10:33,14.83,82.04,43.36
ST026,L0363,2025-07-28 09:27:33,20.89,49.79,1.69
ST027,L0336,2025-07-28 01:27:35,-8.03,82.4,24.47
ST029,L0469,2025-07-23 07:33:24,-0.47,99.27,29.03
ST009,L0162,2025-07-07 00:50:16,40.91,36.97,27.49
ST023,L0817,2025-07-18 12:18:25,21.02,94.55,7.69
ST090,L0514,2025-07-28 11:29:56,21.78,66.9,18.39
ST060,L0757,2025-07-06 20:26:35,21.28,99.65,42.46
ST088,L0656,2025-07-17 15:10:12,39.62,87.29,1.83
ST053,L0759,2025-07-11 15:02:25,43.11,48.02,30.08
ST061,L0729,2025-07-26 01:11:58,0.56,67.57,23.02
ST053,L0006,2025-07-21 18:52:18,1.42,13.61,26.98
ST006,L0389,2025-07-11 11:47:04,38.25,92.84,40.33
ST060,L0754,2025-07-18 22:30:34,42.95,5.25,33.98
ST007,L0588,2025-07-15 21:08:37,14.33,35.34,43.78
ST100,L0816,2025-07-03 13:16:50,24.77,76.77,33.2
ST008,L0995,2025-07-01 08:25:50,36.5,51.89,2.22
ST099,L0896,2025-07-29 11:50:25,40.7,8.68,37.21
ST088,L0385,2025-07-02 22:50:35,37.24,75.5,1.11
ST017,L0169,2025-07-14 12:42:36,37.36,36.52,18.01
ST099,L0683,2025-07-26 20:06:08,3.99,23.87,18.99
ST091,L0976,2025-07-30 03:47:15,27.27,58.69,23.46
